name,Gender,Face_Diameter,Glass_material,Wire_material,Apparatus,Waterproof,Origin,agency,Price
  PA5018H,Đồng hồ Nam,42 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,5 ATM,Áo,Philippe Auguste,4.581.000đ
  PA5018G,Đồng hồ Nam,42 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,5 ATM,Áo,Philippe Auguste,4.581.000đ
  PA2022,Đồng hồ Nam,40 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,5 ATM,Áo,Philippe Auguste,10.710.000đ
  PA5021B,Đồng hồ Nam,42 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,10 ATM,Áo,Philippe Auguste,5.379.300đ
  PA5021H,Đồng hồ Nam,42 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,10 ATM,Áo,Philippe Auguste,5.990.400đ
  PA5025D,Đồng hồ Nam,42 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,10 ATM,Áo,Philippe Auguste,5.535.900đ
  PA5023I,Đồng hồ Nam,42 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,10 ATM,Áo,Philippe Auguste,5.880.600đ
  AT-95743.65.21,Đồng hồ Nam,38mm,Sapphiretinhthể,Dây da chính hãng,Automatic,3ATM,Thụy Sỹ,Atlantic Swiss,121.500.000đ
  AT-52851.41.55G ,Đồng hồ Nam,42 mm,Sapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM,Thụy Sỹ,Atlantic Swiss,103.500.000đ
  E-3439.322.24.16.34,Đồng hồ Nam,41.7 mm,Kínhsapphire,Thép không gỉ, Automatic (Cơ tự động),5 ATM,Thụy Sỹ,Epos Swiss,68.670.000đ
  E-3391.832.22.20.25,Đồng hồ Nam,41mm,Kínhsapphire,Dây da,Automatic (Cơ tự động),5ATM,Thụy Sỹ,Epos Swiss,72.270.000đ
  JL-42-6G,Đồng hồ Nam,42 mm,hardenedcrystexcrystal(Kínhcứng),Thép không gỉ,Quartz (Điện tử),10  ATM,Áo,Jacques lemans,7.146.000đ
  AT-52781.41.51,Đồng hồ Nam,42 mm,Kínhsapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM,Thụy Sỹ,Atlantic Swiss,33.327.000đ
  PA5016F,Đồng hồ Nam,42 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,5 ATM,Áo,Philippe Auguste,4.111.200đ
  E-3435.313.22.18.25 ,Đồng hồ Nam,43.5mm,Kínhsapphire,Dây da,Máy cơ lên cót bằng tay,5ATM,Thụy Sỹ,Epos Swiss,56.520.000đ
  E-3390.156.22.20.32,Đồng hồ Nam,41mm,Kínhsapphire,Thép không gỉ mạ PVD,Automatic (Cơ tự động),5ATM,Thụy Sỹ,Epos Swiss,55.530.000đ
  AT-52780.41.61 ,Đồng hồ Nam,42 mm,Sapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM,Thụy Sỹ,Atlantic Swiss,29.403.000đ
  AG-G9005A G-S,Đồng hồ Nam,43 mm,Kínhsapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM,Singapore,Aries Gold,11.403.000đ
15556,Đồng hồ Nam,42mm,SapphireTinhthể,Dây da,Automatic (Cơ tự động),5ATM,Hong Kong,Tourbillon Memorigin,135.000.000đ
  JL-1-1654.2ZG,Đồng hồ Nam,40 mm,Krysternacrystal(kínhcứng),Stainless Steel,Quartz/Pin,10ATM, Áo,Jacques lemans,5.715.000đ
  AG-G1009 S-RW,Đồng hồ nam,36 mm,Sapphire,Thép không gỉ,Quartz/Pin,5  ATM,Singapore,Aries Gold,4.185.000đ
  JL-1-1654.2ZB,Đồng hồ Nam,40 mm,Krysternacrystal(kínhcứng),Dây da chính hãng,Quartz/Pin,10 ATM,Áo,Jacques lemans,4.752.000đ
  AG-G9005A G-BK,Đồng hồ Nam,43 mm,Sapphire,Dây da,Automatic ( cơ tự động ),5 ATM, Singapore,Aries Gold,11.403.000đ
  PA5003F,Đồng hồ Nam,40 mm,TrángSapphire,Stainless Steel, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,11.404.800đ
  PA5003G,Đồng hồ Nam,40 mm,TrángSapphire,Stainless Steel, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,11.404.800đ
  PA5005J,Đồng hồ Nam,39 mm,TrángSapphire,Stainless Steel,Quartz/Pin,5 ATM, Áo,Philippe Auguste,5.839.200đ
  PA5005K,Đồng hồ Nam,39 mm,TrángSapphire,Stainless Steel,Quartz/Pin,5 ATM, Áo,Philippe Auguste,5.839.200đ
  PA5005L,Đồng hồ Nam,39 mm,TrángSapphire,Stainless Steel,Quartz/Pin,5 ATM, Áo,Philippe Auguste,5.839.200đ
  PA5006H,Đồng hồ Nam,42 mm,TrángSapphire,Thép không gỉ,Quartz/Pin,10 ATM, Áo,Philippe Auguste,8.388.000đ
  PA5006I,Đồng hồ Nam,42 mm,TrángSapphire,Stainless Steel,Quartz/Pin,10 ATM, Áo,Philippe Auguste,8.388.000đ
  PA5006J,Đồng hồ Nam,42 mm,TrángSapphire,Stainless Steel,Quartz/Pin,10 ATM, Áo,Philippe Auguste,8.388.000đ
  E-3500.169.24.25.25 ,Đồng hồ Nam,41 mm,Sapphire,Dây da chính hãng,Máy cơ lên cót bằng tay,5 ATM,Thụy Sỹ,Epos Swiss,51.390.000đ
  AT-52852.41.55R,Đồng hồ Nam,42 mm,Sapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM,Thụy Sỹ,Atlantic Swiss,67.500.000đ
   JL-1-1830A ,Đồng hồ Nam,42 mm,Kínhcứngchịulực,Dây da chính hãng,Quartz/Pin,20ATM,Áo,Jacques lemans,5.742.000đ
  PA5001B,Đồng hồ Nam,40 mm,TrángSapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,8.724.600đ
  PA5001C,Đồng hồ Nam,40 mm,TrángSapphire,Stainless Steel, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,10.223.100đ
  PA5001D,Đồng hồ Nam,40 mm,TrángSapphire,Stainless Steel, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,10.223.100đ
  PA5001E,Đồng hồ Nam,40 mm,TrángSapphire,Stainless Steel, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,10.223.100đ
  PA5001F,Nam,40 mm,TrángSapphire,Stainless Steel, Automatic (Cơ tự động),5 ATM,Áo,Philippe Auguste,10.223.100đ
  PA5002A,Đồng hồ Nam,40 mm,TrángSapphire,Dây da,Automatic ( cơ tự động ),5 ATM, Áo,Philippe Auguste,8.724.600đ
  PA5002B,Đồng hồ Nam,40 mm,TrángSapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,8.724.600đ
  PA5002C,Nam,40 mm,TrángSapphire,Stainless Steel, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,10.223.100đ
  PA5002D,Đồng hồ Nam,40 mm,TrángSapphire,Stainless Steel, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,10.223.100đ
  PA5002E,Nam,40 mm,TrángSapphire,Stainless Steel, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,10.223.100đ
  PA5002F,Nam,40 mm,TrángSapphire,Stainless Steel, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,10.223.100đ
  PA5003A,Đồng hồ Nam,40 mm,TrángSapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM,Áo,Philippe Auguste,9.906.300đ
  PA5003B,Đồng hồ Nam,40 mm,TrángSapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,9.906.300đ
  PA5003C,Đồng hồ Nam,40 mm,TrángSapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,9.906.300đ
  PA5003D,Đồng hồ Nam,40 mm,TrángSapphire,Thép không gỉ,Automatic ( cơ tự động ),5 ATM, Áo,Philippe Auguste,11.404.800đ
  AT-52780.41.51 ,Đồng hồ Nam,42 mm,Sapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM,Thụy Sỹ,Atlantic Swiss,29.403.000đ
  PA5004A,Đồng hồ Nam,40 mm,TrángSapphire,Dây da,Automatic ( cơ tự động ),5 ATM, Áo,Philippe Auguste,9.906.300đ
  PA5008H,Đồng hồ Nam,40 mm,TrángSapphire,Stainless Steel,Automatic ( cơ tự động ),5 ATM, Áo,Philippe Auguste,12.125.700đ
  PA5008G,Đồng hồ Nam,40 mm,TrángSapphire,Stainless Steel,Automatic ( cơ tự động ),5 ATM, Áo,Philippe Auguste,12.125.700đ
  PA5008F,Đồng hồ Nam,40 mm,TrángSapphire,Stainless Steel,Automatic ( cơ tự động ),5 ATM,Áo,Philippe Auguste,12.125.700đ
  PA5008E,Nam,40 mm,TrángSapphire,Stainless Steel,Automatic ( cơ tự động ),5 ATM, Áo,Philippe Auguste,12.125.700đ
  PA5008D,Đồng hồ Nam,40 mm,TrángSapphire,Dây da,Automatic ( cơ tự động ),5 ATM, Áo,Philippe Auguste,10.627.200đ
  PA5004B,Đồng hồ Nam,40 mm,TrángSapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,9.906.300đ
  PA5004C,Đồng hồ Nam,40 mm,TrángSapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,9.906.300đ
  AT-60343.41.19 ,Đồng hồ Nam,40 mm,Sapphire,Dây da chính hãng,Quartz/Pin,5 ATM,Thụy Sỹ,Atlantic Swiss,8.001.000đ
  PA5004D,Đồng hồ Nam,40 mm,TrángSapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,9.906.300đ
  AT-60348.45.19 ,Đồng hồ Nam,40 mm,Sapphire,Thép không gỉ,Quartz/Pin,5 ATM,Thụy Sỹ,Atlantic Swiss,10.602.000đ
  PA5004E,Đồng hồ Nam,40 mm,TrángSapphire,Dây da chính hãng, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,9.906.300đ
  AT-60348.41.19 ,Đồng hồ Nam,40 mm,Sapphire,Thép không gỉ,Quartz/Pin,5 ATM,Thụy Sỹ,Atlantic Swiss,8.712.000đ
  PA5005A,Đồng hồ Nam,39 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,5 ATM, Áo,Philippe Auguste,3.735.000đ
  AT-60335.45.19 ,Đồng hồ Nam,42 mm,Sapphire,Thép không gỉ,Quartz/Pin,3 ATM,Thụy Sỹ,Atlantic Swiss,11.322.000đ
  PA5005B,Đồng hồ Nam,39 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,5 ATM, Áo,Philippe Auguste,4.340.700đ
  AT-60335.41.19 ,Đồng hồ Nam,42 mm,Sapphire,Thép không gỉ,Quartz/Pin,3 ATM,Thụy Sỹ,Atlantic Swiss,10.152.000đ
  PA5005C,Đồng hồ Nam,39 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,5 ATM, Áo,Philippe Auguste,4.340.700đ
  PA5005D,Nam,39 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,5 ATM, Áo,Philippe Auguste,4.340.700đ
  PA5005E,Nam,39 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,5 ATM, Áo,Philippe Auguste,4.340.700đ
  E-3408.208.22.90.32 ,Đồng hồ Nam,39 mm,Sapphire,Thép không gỉ,Máy cơ lên cót bằng tay,3 ATM,Thụy Sỹ,Epos Swiss,34.830.000đ
  PA5005F,Đồng hồ Nam,39 mm,TrángSapphire,Stainless Steel,Quartz/Pin,5 ATM, Áo,Philippe Auguste,5.839.200đ
  PA5005G,Nam,39 mm,TrángSapphire,Stainless Steel,Quartz/Pin,5 ATM, Áo,Philippe Auguste,5.839.200đ
  PA5005H,Đồng hồ Nam,39 mm,TrángSapphire,Stainless Steel,Quartz/Pin,5 ATM, Áo,Philippe Auguste,5.839.200đ
  PA5005I,Đồng hồ Nam,39 mm,TrángSapphire,Stainless Steel,Quartz/Pin,5 ATM, Áo,Philippe Auguste,5.839.200đ
  PA5006A,Đồng hồ Nam,42 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,10 ATM, Áo,Philippe Auguste,5.985.000đ
  PA5006B,Đồng hồ Nam,42 mm,TrángSapphire,Dây da chính hãng,Quartz/Pin,10 ATM, Áo,Philippe Auguste,5.985.000đ
  PA5006D,Đồng hồ Nam,42 mm,TrángSapphire,Dây da,Quartz/Pin,10 ATM, Áo,Philippe Auguste,6.732.000đ
  PA5006E,Đồng hồ Nam,42 mm,TrángSapphire,Dây da,Quartz/Pin,10 ATM, Áo,Philippe Auguste,6.732.000đ
  PA5006G,Đồng hồ Nam,42 mm,TrángSapphire,Dây da,Quartz/Pin,10 ATM, Áo,Philippe Auguste,6.732.000đ
  PA5007A,Đồng hồ Nam,40 mm,TrángSapphire,Dây da, Automatic (Cơ tự động),5 ATM, Áo,Philippe Auguste,11.012.400đ
