,name,Gender,Face_Diameter,Glass_material,Wire_material,Apparatus,Waterproof,Origin,agency,Price
0, MTP-1370D-7A2VDF, Nam, 40mm, Mineral Crystal (Kính Cứng),NULL, Quartz (Pin), 5 ATM, Nhật Bản, Casio,1.607.000 ₫
1, RA-AR0001S10B, Nam, 40.8 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Automatic (Tự Động), 5 ATM, Nhật Bản, Orient,11.760.000 ₫
2, EFV-550L-1AVUDF, Nam, 47 mm, Mineral Crystal (Kính Cứng), Dây Da Chính Hãng, Quartz (Pin), 10 ATM, Nhật Bản, Casio,3.529.000 ₫
3, MTP-1381D-1AVDF, Nam, 39.9mm, Mineral Crystal (Kính Cứng),NULL, Quartz (Pin), 5 ATM, Nhật Bản, Casio,1.710.000 ₫
4, GA-110-1BDR, Nam, 53mm, Mineral Crystal (Kính Cứng), Dây Cao Su, Quartz (Pin), 20 ATM, Nhật Bản, Casio,4.612.000 ₫
5, D154TWH – Giới thiệu chi tiết , Nam, 40 mm, Sapphire (Kính chống trầy), Dây da chính hãng, Handwinding (Lên cót bằng tay), 3 ATM, Thụy Sỹ, Doxa (Phiên bản giới hạn 1000 chiếc trên toàn thế giới),135.830.000 ₫
6, T063.617.36.037.00, Nam, 42 mm, Sapphire (Kính chống trầy), Dây da chính hãng, Quartz (Pin), 3 ATM, Thụy Sỹ, Tissot,14.700.000 ₫
7, MTP-1384D-1AVDF, Nam, 40 mm, Mineral Crystal (Kính Cứng), Thép Không Gỉ, Quartz (Pin), 10 ATM, Nhật Bản, Casio,2.280.000 ₫
8, MTP-1302D-7A1VDF, Nam, 38.5mm, Mineral Crystal (Kính Cứng),NULL, Quartz (Pin), 5 ATM, Nhật Bản, Casio,1.347.000 ₫
9, MTP-1302D-7BVDF, Nam, 38.5mm, Mineral Crystal (Kính Cứng),NULL, Quartz (Pin), 5 ATM, Nhật Bản, Casio,1.347.000 ₫
10, RE-AV0001S00B, Nam, 41 mm, Mineral Crystal (Kính Cứng), Dây Da Chính Hãng, Automatic (Tự Động), 5 ATM, Nhật Bản, Orient,22.300.000 ₫
11,  BI5072-01A, Nam, 40 mm,  Mineral Crystal (Kính Cứng), Dây Da Chính Hãng, Quartz (Pin), 5 ATM, Nhật Bản, Citizen,3.685.000 ₫
